id_municipio,accesos,COD_MUNICIPIO,MUNICIPIO,COD_DEPARTAMENTO,DEPARTAMENTO
5001,16695505,5001.0,MEDELLIN,5.0,ANTIOQUIA
5088,3134422,5088.0,BELLO,5.0,ANTIOQUIA
66001,2862973,66001.0,PEREIRA,66.0,RISARALDA
5266,1942179,5266.0,ENVIGADO,5.0,ANTIOQUIA
5360,1924606,5360.0,ITAGUI,5.0,ANTIOQUIA
66170,1361003,66170.0,DOSQUEBRADAS,66.0,RISARALDA
5631,907643,5631.0,SABANETA,5.0,ANTIOQUIA
5615,822008,5615.0,RIONEGRO,5.0,ANTIOQUIA
5045,527978,5045.0,APARTADO,5.0,ANTIOQUIA
5380,502803,5380.0,LA ESTRELLA,5.0,ANTIOQUIA
